ID	EN	Example or notes
unknown	Unknown	
questionMark	?	For unknown values eg Congruence's age
		
		
		
		
		
		
		
		
		
		
		
		
popup_selectCard	Select a card first.	
popup_warning	Warning!	
popup_home_battle	Can't return home during a battle	
popup_home_story	Can't return home during an event	
popup_home_confirm	Are you sure you're ready to go home?	
popup_stuckPlayer	Detected stuck player, teleporting to entrance. Sorry!	
popup_pickName	What name?	
popup_shortName	Name too short!	
		
		
		
		
		
		
		
		
		
		
skillperk_none	None	
skillperk_gearslots2	Extra slot for gear	
skillperk_gearslots3	Extra slot for gear	
skillperk_gearslots4	Extra slot for gear	
		
		
		
skill_empathy	Empathy	
skill_persuasion	Persuasion	
skill_creativity	Creativity	
skill_bravery	Bravery	
skill_reasoning	Reasoning	
skill_organization	Organizing	
skill_engineering	Engineering	
skill_biology	Biology	
skill_toughness	Toughness	
skill_perception	Perception	
skill_combat	Combat	
skill_animals	Animals	
skill_kudos	Kudos	
skill_stress	Stress	
skill_rebellion	Rebellion	
skillNeg_rebellion	Loyalty	
		
skillDesc_empathy	Understanding other people	
skillDesc_persuasion	Charisma to command people and speak in public	
skillDesc_creativity	Artistic ability and capacity for novel ideas	
skillDesc_bravery	For both social and dangerous situations	
skillDesc_reasoning	Problem solving and general knowledge	
skillDesc_organization	Dedication to neatness, management	
skillDesc_engineering	Study of machines, physics, math, and programming	
skillDesc_biology	Study of plants, biochemistry, and the human body	
skillDesc_toughness	Physical strength and stamina	
skillDesc_perception	Ability to find things, and to sneak past things	
skillDesc_combat	Tactics and weapons	
skillDesc_animals	Familiarity with xenofauna, hunting, ranching	
skillDesc_kudos	Reputation-based currency	
skillDesc_stress	Physical and mental exhaustion	
skillDesc_rebellion	Relationship with adults and colony government	
		
skillSnippet1_empathy	You have an innate understanding of others, and	
skillSnippet1_persuasion	People tend to listen to you and do what you say, and	
skillSnippet1_creativity	You love to make stuff, and	
skillSnippet1_bravery	Nothing can scare you... or at least you deal with your fear better than most! And	
skillSnippet1_reasoning	You're smart in an intuitive sort of way, and	
skillSnippet1_organization	Everything you own is neat and tidy, even the contents of your holopalm, and	
skillSnippet1_engineering	Your affinity for math and machines gives you confidence, and	
skillSnippet1_biology	The natural world reveals its secrets to you, and	
skillSnippet1_toughness	You can take a beating or drop a brick on your foot without cursing, and	
skillSnippet1_perception	You've got a knack for finding hidden things or staying hidden when you need to. And	
skillSnippet1_combat	You're good in a fight, and	
skillSnippet1_animals	Creatures are no mystery to you, and	
skillSnippet1_kudos	You're rich, and	
skillSnippet1_stress	You are way too stressed out, and	
skillSnippet1_rebellion	You're a rebel, and	
		
skillSnippet2_empathy	your best friends say you're a great listener.	
skillSnippet2_persuasion	you're even better at winning arguments.	
skillSnippet2_creativity	creatively you're in a class of your own.	
skillSnippet2_bravery	you're almost never afraid. Almost.	
skillSnippet2_reasoning	logic puzzles are no match for your powers of reasoning.	
skillSnippet2_organization	you've never had to be told to clean up your bunk.	
skillSnippet2_engineering	you get good grades in engineering class.	
skillSnippet2_biology	you've got a green thumb.	
skillSnippet2_toughness	you're a tough kid.	
skillSnippet2_perception	your keen eyes can find things other people miss.	
skillSnippet2_combat	they say you're good with all kinds of weapons.	
skillSnippet2_animals	you know all sorts of things about animals.	
skillSnippet2_kudos	everyone gives you kudos.	
skillSnippet2_stress	you're overworked.	
skillSnippet2_rebellion	you hate the man.	
		
skillSecond_command	Second Administrator.	
skillSecond_garrison	Second Security Officer.	
skillSecond_engineering	Second Engineer.	
skillSecond_geoponics	Second Cultivator.	
skillSecond_quarters	Second Steward.	
skillSecond_expeditions	Second Surveyor.	
skillSecond_leader	Governor of the Vertumna Colony.	
		
		
skillperk_gearslot	Gear Slot	
skillperk_petslot	Pet Slot	
skillperk_healthsocial	Health in Social Battles	
skillperk_healthmental	Health in Mental Battles	
skillperk_healthphysical	Health in Physical Battles	
		
		
		
memchange_food	Colony Food	
memchange_defense	Colony Defense	
memchange_rexbuild	Rex's Construction Project	
memchange_tammyconfidence	Tammy's Confidence	
memchange_shimmerhelp	Shimmer Cure	
memchange_tanghelp	Helped Tangent	
memchange_mutinyvotes	Council Votes	
memchange_petted_hopeye	Bond with Pet Hopeye	
memchange_petted_vriki	Bond with Pet Vriki	
memchange_petted_unisaur	Bond with Pet Unisaur	
		
		
story_continueButtonText	...	
story_doneButtonText	Done	
story_endingNextButtonText	But what about...	
story_doneButtonBeforeJobBattleText	Get to Work!	
story_doneButtonBeforeBattleText	Challenge!	
story_doneButtonTimePassesText	Time Passes...	
story_jobTitle	Pick an activity to do this month:	
story_unknownName	they	Fallback when character unknown / bff etc memory not set
		
		
		
		
		
charas_welcome	Welcome	
charas_date	Month {1} of {2}, age {3}	Month 3 of Quiet, age 11
charas_date_noage	Month {1} of {2}	Month 3 of Quiet
charas_date_age	Age {1}	Age 11
charas_about	About	
charas_she	She	
charas_he	He	
charas_yearsOld	You're {1} years old, and	You're 10 years old, and an average kid.
charas_noPerk	an average kid.	You're 10 years old, and an average kid.
charas_age	Age:	
charas_birthday	Birthday:	
charas_enhancement	Augment:	
charas_dating	Relationship:	
charas_likes	Likes:	
charas_dislikes	Dislikes:	
charas_datingChara	Dating {1}	Dating Tammy
charas_datingYou	Dating you!	
charas_friendship	Friendship {1} / {2}	Friendship 46 / 100
charas_rename	Rename {1}	Rename Sol
charas_popup_renamed	Name changed to {1}	
		
		
		
		
		
		
fact_name	name	
fact_basics	basics	
fact_more	more	
fact_enhancement	augment	
fact_birthday	birthday	
fact_likes	likes {1}	
fact_dislikes	dislikes {1}	
fact_dating	relationship	
fact_likesNothing	Nothing	
fact_likesEverything	Everything	
fact_noBirthday	Doesn't have one	
		
		
		
month_1	Early {1}	1st month of {1}
month_2	Mid {1}	2nd month of {1}
month_3	Late {1}	3rd month of {1}
month_season	{1} season	Quiet season
month_age	age {1}	age 15
month_food	food {1}	food +5
month_defense	defense {1}	defense -2
month_button_startAge	start age {1}	start age 16
month_monthOf	Month {1} of {2}	Month 5 of 13
		
		
pronouns_princess	[They|She|He]/[them|her|him].	For princess, may be custom like Ey/em
pronouns_nonbinary	They/them.	For non-princess charas only
pronouns_female	She/her.	
pronouns_male	He/him.	
appearance_nonbinary	Androgynous appearance (in late teens)	
appearance_female	Feminine appearance (in late teens)	
appearance_male	Masculine appearance (in late teens)	
		
		
		
		
job_doing_shovel	Shoveling Dirt	
job_doing_farm	Farming	
job_doing_analyzePlants	Researching Xenobotany	
job_doing_tendAnimals	Tending the Animals	
job_doing_relaxPark	Relaxing in the Park	
job_doing_babysitting	Babysitting	
job_doing_cooking	Cooking	
job_doing_barista	Working in the Cafe	
job_doing_photophonor	Playing the Photophonor	
job_doing_relaxLounge	Relaxing in the Lounge	
job_doing_studyBiology	Studying Life Sciences	
job_doing_studyPhysics	Studying Engineering	
job_doing_studyWriting	Studying Humanities	
job_doing_tutoring	Tutoring	
job_doing_robotRepair	Repairing Robots	
job_doing_nurse	Working in Medbay	
job_doing_sportsball	Playing Sportsball	
job_doing_defenseTraining	Defense Training	
job_doing_lookoutDuty	On Lookout Duty	
job_doing_guardDuty	On Guard Duty	
job_doing_relaxWalls	Relaxing on the Walls	
job_doing_delivery	Delivering Supplies	
job_doing_depot	Working in the Depot	
job_doing_construction	Working Construction	
job_doing_assistant	Administrating	
job_doing_leader	Working as Governor	
job_doing_sneak	Returning from Sneaking Out	
job_doing_survey	Returning from Surveying	
job_doing_forage	Returning from Foraging	
job_doing_hunt	Returning from Hunting Xenos	
job_doing_exploreGlow	Returning from Exploring Nearby	
job_doing_exploreNearby	Returning from Exploring Nearby	
job_doing_relaxPet	Relaxing with Pet	
job_doing_rebuild	Rebuilding the Colony	
job_doing_mourn	Mourning	
		
		
difficulty_none	none	
difficulty_easy	easy	
difficulty_normal	normal	
difficulty_hard	hard	
difficulty_impossible	impossible	
		
battleHeader_difficulty	{1} challenge	easy challenge
battleHeader_skillDifficulty	{1} {2} challenge	easy empathy challenge
battleHeader_3rounds	3 Rounds	
battleHeader_bonusLeft	{1} for	plus 3 for (Red Pairs Icon)
battleHeader_bonusRight_social	social straights	
battleHeader_bonusRight_mental	mental flushes	
battleHeader_bonusRight_physical	physical pairs	
		
battleBonus_fromSource	{1} from {2}	+4 from Pet Bot Gear
battleBonus_fromSource_multiply	x{1} from {2}	x2 from Pet Bot Gear
battleBonus_fromSource_zeroed	zeroed by {1}	zeroed by Pet Bot Gear
battleBonus_tooltip	{1} for {2}	+1 for Straight of 3
battleBonus_and	and	Bonus1 and Bonus2
battleBonus_from	{1} from {2}	+3 from Condition and Vriki III
		
		
battlePane_roundLocked	(round {1})	round 3
battle_tooltip_sort_suit	Sort Cards by Suit	
battle_tooltip_sort_value	Sort Cards by Value	
battle_tooltip_autoplayFairy	Autoplay Fairy perk: once per battle, find a slightly better hand	
battle_tooltip_tutorial	Show/Hide Tutorial	
battle_goal_superGoal	Bonus for hidden higher goal:\n+1 to {1}	Bonus for hidden higher goal +1 to Animals
battle_goal_hand	{1} total hand value:\n{2} from card values	15 total hand value: 5 from card values
battle_goal_pairs	{1} from pair/straight/flush	+3 from pair/straight/flush
battle_goal_global	{1} from global bonuses	
battle_goal_button_nextRound	next round	
battle_goal_button_win	win!	
battle_goal_button_lose	give up	
battle_goal_finalRound	Final Round!	
battle_goal_round	Round {1} of {2}	Round 1 of 3
battle_goal_title	goal	
battle_goal_title_super	super goal!	
battle_button_pushThrough	Push through\n({1} stress)	Push through (5 stress)
battle_button_pushThroughNo	Push through\n	
battle_reward_won	Won Challenge	
battle_reward_failed	Failed Challenge	
battle_reward_superGoal	Super Goal	
battle_reward_bestScore	Best Score	
battle_reward_exactScore	Exact score from {1}	
battle_close_keep	Close and Keep cards	
battle_close_forget	forget	
battle_winLose_won	Victorious!	
battle_winLose_lost	Defeated!	
battle_bestScore_yes	Best Score {1} out of {2}	
battle_bestScore_no	Total {1} out of Best Score {2}	
battle_bestScore_lastRound	(last round only)	
battle_title_challenge	Challenge	
battle_fail_defeated	Defeated	
battle_fail_wouldHave	You would have gotten {1}	
battle_useCard	Use a {1}?	Use a crystal?
battle_forgetTitle	Do you want to forget?	
battle_forgetTooltip	Select a card to remove, or click the close button to keep them all	
battle_forgetConfirm	Forget {1}?	
battle_forgetConfirmNone	Keep your memories?	
		
		
		
cardValueTooltip_gained	Gained 1	when shown in Results Menu
cardValueTooltip_shop	+1 added to store every year	
cardValueTooltip_freeCollectible	First use is free, from Condition	
cardValueTooltip_collectible	{1} owned	5 owned
cardValueTooltip_base	Base value {1}	Base value 3
		
cardForgetTooltip	Select to forget.	For both consoles and pc use controller wording not 'click'
cardForgetTooltipUndo	Select to undo forgetting.	
cardArtCreditsTooltip	Illustration by {1}	Illustration by Sarah Northway
cardForgotten	FORGOTTEN	
		
cardAbilitySource_collectible	one-use collectible	
cardAbilitySource_condition	battle condition	
cardAbilitySource_status	{1} status	Insomnia Status
cardAbilitySource_perk	{1} perk	Spongy Brain Perk
cardAbilitySource_thisCard	this card	
cardAbilitySource_gear	{1} gear	Captain's Hat gear
cardAbilitySource_unknown	unknown card	
		
cardType_pet	Pet	
cardType_gear	Gear	
cardType_collectible	Collectible	
cardType_memory	Memory	
		
cardChange_gained	Gained {1}	Gained Collectible
cardChange_lost	Lost {1}	Lost Collectible
cardChange_forgot	Forgot {1}	Forgot Memory
cardChange_upgraded	Upgraded {1}	Upgraded Pet
cardChange_skip	Select the card to skip gaining it.	
		
statusChange_gained	Gained Status: {1}	Status Gained: Starving
statusChange_ended	Status Ended: {1}	
statusChange_nothing	nothing	
		
shop_shop_title	Supply Depot Shop	
shop_shop_subtitle	Click a card to select it	
shop_shop_button	Buy	
shop_training_title	Training Gym	
shop_training_subtitle	Select a basic card to upgrade	
shop_training_button	Upgrade	
shop_trainingBuy_title	Training Gym	
shop_trainingBuy_subtitle	Select a basic card to buy	
shop_trainingBuy_button	Buy	
shop_spa_title	Meditation Spa	
shop_spa_subtitle	Select a memory to forget	
shop_spa_button	Forget	
shop_sell_title	Depot Shop	
shop_sell_subtitle	Select a card to sell	
shop_sell_button	Sell	
popup_shopBuy	Buy {1} for {2} kudos?	Buy Cool Dress for 100 Kudos?
popup_shopUpgrade	Upgrade {1} to {2} for {3} kudos?	
popup_shopForget	Are you sure you want to permanently forget {1}?	
popup_shopSell	Sell {1} for {2} kudos?	
popup_shopPurchaseComplete	Purchase complete!	
popup_shopUpgradeComplete	Upgrade complete!	
popup_shopForgetComplete	You breathe deeply. That memory has been forgotten...	
popup_shop_SellComplete	Sale complete!	
button_shop_buy	Purchase	
button_shop_buyFor	Purchase for {1} kudos	
button_shop_afford	You can't afford this	
		
		
		
		
		
save_title_replace	Choose a game to replace	
save_title_load	Load a previous game	
save_button_new	New Save	
save_button_overwrite	Overwrite	
popup_save_confirm1	Are you sure?	
popup_save_confirm2	Really REALLY sure?	
popup_save_deleteGroundhogs1	Delete ALL memories? Remove all memories of past lives. Settings and savegames will NOT be removed. Achievements, seen cards, characters and endings will NOT be removed.	
popup_save_deleteGroundhogs2	This will remove all 'wormhole' references to memories from past games.	
popup_save_deleteGroundhogs3	Memories from past lives have been deleted.	
popup_save_deleteData1	Delete ALL data? Remove all savegames, memories of past lives, and reset user settings? Includes in-game achievement data, seen cards, characters and endings.	
popup_save_deleteData2	This will delete ALL user data including ALL savegames, settings, and logs, leaving a fresh install.	
popup_save_deleteData3	All user data has been deleted.	
popup_save_deleteDataTradeshow	All user data has been deleted and all settings reset, except Settings.tradeShowMode	
		
popup_missingGroundhogs_header	ERROR: missing past-life memories	
popup_missingGroundhogs_text	Your Groundhogs.json file may be corrupt.\n\nWould you like to restore past-life memories, achievements, endings, and cards from this savegame?	
popup_missingGroundhogs_warn	This will permanently replace ALL past-life memories and gallery content.\n\nWill not affect achievements on other platforms, only the record of them in the game's gallery.	
popup_missingGroundhogs_done	Restore Complete	
popup_missingGroundhogs_done2	Past-life memories restored from this save file to Groundhogs.json. Previous file backed up to Groundhogs_old.json	
popup_saveFailed	ERROR: a file failed to save. Your hard drive may be full, or the game may be corrupt.	
popup_saveFailedFinal	FINAL WARNING: unable to save to the filesystem.	
		
		
		
		
suit_none	none	
suit_social	social	
suit_mental	mental	
suit_physical	physical	
suit_wildcard	wild	
suitWithColor_none	none	
suitWithColor_social	social (yellow)	
suitWithColor_mental	mental (blue)	
suitWithColor_physical	physical (red)	
suitWithColor_wildcard	wild	
card_left	left	Will be replaced with a left arrow when it appears in card text
card_right	right	
		
		
player_explore_stress	Time passes...\n{1}	Time passes... +20 stress
player_explore_stress_high	You should go\nhome soon...	
player_colony_stress_high	You need a\nbreak soon...	
player_colony_stress_max	You need some\ntime off...	
player_biomeTitle_strato	Strato\nColony	
player_biomeTitle_helio	Helio\nColony	
		
		
		
		
		
		
fancyButton_continue	Click to Continue...	
fancyButton_continue_ps	Press the X button to Continue...	
fancyButton_continue_switch	Press the A button to Continue...	
fancyButton_continue_xbox	Press the A button to Continue...	
fancyButton_continue_deck	Press the A button to Continue...	
		
		
tutorial_start1	Oh! Tammy jumps as you step out of the ship's quarters behind her. "You're awake! Are you all better? You better go see your dad!" She points south-east toward some geodesic domes.	
		
tutorial_start2	To walk, use WASD, arrow keys, click, click and hold, or d-pad or analog stick. To talk to a character, click on them or press Enter or the Interact button when you're near them.	
tutorial_start2_pc	To walk, click on the ground. Click on characters to talk to them.	
tutorial_start2_ps	To walk, use left stick or directional buttons. To talk to a character, press the X button when near them.	
tutorial_start2_switch	To walk, tilt the Left Stick or press the directional buttons. To talk to a character, press the A button when near them, or tap the Touch Screen.	
tutorial_start2_xbox	To walk, use left analog stick or d-pad. To talk to a character, press the A button when near them.	
tutorial_start2_deck	To walk, use left analog stick or d-pad. To talk to a character, press the A button when near them, or tap the Touch Screen.	
		
tutorial_doors	To enter buildings, click on the door or the flag beside it, or get close and press Enter or another action button.\n\nThen choose an activity for the month to gain skills and advance time. There are 13 months a year and 10 years to the end of the game. You'll only have time to focus on a few things.	
tutorial_doors_pc	To enter buildings, click on the door or the flag beside it, or get close and press Enter or another action button.\n\nThen choose an activity for the month to gain skills and advance time. There are 13 months a year and 10 years to the end of the game. You'll only have time to focus on a few things.	
tutorial_doors_ps	To enter buildings, press the X button near a door or flag.\n\nThen choose an activity for the month to gain skills and advance time. There are 13 months a year and 10 years to the end of the game. You'll only have time to focus on a few things.	
tutorial_doors_switch	To enter buildings, press the A button near a door or flag, or tap the Touch Screen.\n\nThen choose an activity for the month to gain skills and advance time. There are 13 months a year and 10 years to the end of the game. You'll only have time to focus on a few things.	
tutorial_doors_xbox	To enter buildings, press the A button near a door or flag.\n\nThen choose an activity for the month to gain skills and advance time. There are 13 months a year and 10 years to the end of the game. You'll only have time to focus on a few things.	
tutorial_doors_deck	To enter buildings, press the A button near a door or flag, or tap the Touch Screen.\n\nThen choose an activity for the month to gain skills and advance time. There are 13 months a year and 10 years to the end of the game. You'll only have time to focus on a few things.	
		
tutorial_deck	You'll keep adding to your deck as you age, and can forget cards by spending time relaxing.\n\nYou have a limited number of gear slots based on your Organization and other skills. Click gear to equip/unequip it.\n\nCollectibles that you find while exploring may be given as gifts to friends, or used during Challenges for one-use bonuses.	
tutorial_explore	Events in this area can be done in any order. They won't cause time to pass, but will increase your stress. Return home via the Expeditions depot flag, or the Home button at the top-left of the screen.\n\nWatch for collectible items you can bring back as gifts! Events respawn at the beginning of each year, and new collectibles have a chance to appear every season.	
tutorial_battle1	When you work or go to class, you'll play a quick card challenge as the month passes. Move cards to fill the 5 panes and make the best hand you can. Yes, order matters...	
tutorial_battle1b	If your total in the circle on the right reaches the goal value, you win.\n\nDepending on your cards, some challenges can't be won, but you still get a reward for doing your best.	
tutorial_battle2	Bonus for flushes (same color together):	
tutorial_battle2b	Bonus for pairs (same number together):	
tutorial_battle3	Bonus for straights (increasing from left to right):	
tutorial_battle3b	The more cards in a flush, pair, or straight, the higher the bonus added to your total. Cards can also affect each other, and can be rearranged to find the best total score.	
tutorial_battle_settings_a	Looking for more difficulty? This Harder Card Challenges option will keep you on your toes.	
tutorial_battle_settings_b	Want to focus on the story? This will replace future minigames with a quick coin flip based on your age and skills. You can change either option any time from the settings menu.	
tutorial_battle_story	Story challenges have three rounds instead of one. After every round, you'll keep the cards you didn't play, and unlock an extra slot to play them in. Losing isn't always a bad thing in story challenges!	
tutorial_battle_conditions	As you get older, challenges can have conditions. The challenge suit (social, mental, or physical) determines what conditions can appear, and which decks will work best.\n\nTry to collect social (yellow) cards if you want to win battles for social skills (empathy, persuasion, creativity, bravery).	
tutorial_afterjob	Your skills increase when you work or go to school, with extra skills if you win the challenge, and a kudos bonus if you make the highest scoring hand with your cards.\n\nWorking also increases stress, which prevents you from working if it reaches 100. To relieve stress, take a month off to relax in the quarters wing.	
tutorial_year	Childhood is fleeting! The game will end when you reach age 20, so you should focus on a few skills to improve and friends to spend time with. Use the Skills and Friends buttons at the top-left of the screen to keep track of them. Good luck!	
		
		
gallery_bg_attack	attack	
gallery_bg_bar	helios bar	
gallery_bg_barn	barn	
gallery_bg_barn_glow	barn at night	
gallery_bg_bedroom	bedroom	
gallery_bg_bedroom_newship	helios bedroom	
gallery_bg_bedroom_newship_night	bedroom at night	
gallery_bg_bridge	bridge	
gallery_bg_cafe	cafe	
gallery_bg_cafeteria	cafeteria	
gallery_bg_cave	cave	
gallery_bg_cave_array	convergent cave	
gallery_bg_classroom	classroom	
gallery_bg_colony	strato colony	
gallery_bg_colony_dusk	hillside at dusk	
gallery_bg_colony_glow	engineering in glow	
gallery_bg_colony_newship	helio colony	
gallery_bg_colony_newship_wet	helio in wet	
gallery_bg_colony_quiet	engineering wing	
gallery_bg_colony_wet	bluff at dusk	
gallery_bg_command	command wing	
gallery_bg_construction	construction yard	
gallery_bg_creche	children's creche	
gallery_bg_creche_night	creche at night	
gallery_bg_darkness	darkness	
gallery_bg_darkness_suns	vertumna system	
gallery_bg_depot	depot	
gallery_bg_destroyed	colony destroyed	
gallery_bg_destroyed_dusty	helios landing	
gallery_bg_earth	earth	
gallery_bg_engineering	engineering	
gallery_bg_expeditions	expeditions gate	
gallery_bg_expeditionsreturn	expeditions dusk	
gallery_bg_expeditionsreturn_day	expeditions return	
gallery_bg_expeditions_map	expeditions map	
gallery_bg_fantasy_forest	fantasy forest	
gallery_bg_garden	garden	
gallery_bg_garrison	strato garrison	
gallery_bg_garrison_newship	garrison hall	
gallery_bg_geoponics	geoponics	
gallery_bg_glow	glow wormhole	
gallery_bg_glow_alt	glow moths	
gallery_bg_glow_close	glow up close	
gallery_bg_greenhouse	greenhouse	
gallery_bg_hidden_black	black	
gallery_bg_hidden_geoponics_blur	geoponics blur	
gallery_bg_hidden_papertexture	paper texture	
gallery_bg_hidden_starfield_white_static	white starfield	
gallery_bg_medbay	medbay	
gallery_bg_medbay_night	medbay at night	
gallery_bg_nearby	nearby mushwoods	
gallery_bg_nearby_close	nearby up close	
gallery_bg_otherquarters	friend's quarters	
gallery_bg_pinup_anemone	anemone defending	
gallery_bg_pinup_anemone_yuck	anemone grossed out	
gallery_bg_pinup_beans	pixie bean fever	
gallery_bg_pinup_cal	cal and socks	
gallery_bg_pinup_cal_scared	cal hiding something	
gallery_bg_pinup_dad	saying goodbye	
gallery_bg_pinup_dys	dys' transformation	
gallery_bg_pinup_dys_field	music and stars	
gallery_bg_pinup_kom_attack14	faceless attack	
gallery_bg_pinup_marz	governor marz	
gallery_bg_pinup_marz_holopalm	nostalgic marz	
gallery_bg_pinup_mom	flulu's sacrifice	
gallery_bg_pinup_nomi	nomi's first game	
gallery_bg_pinup_nomi_game	nomi's rpg chara	
gallery_bg_pinup_rex	sexy rex	
gallery_bg_pinup_rex_cards	cards with rex	
gallery_bg_pinup_sfc	sfc mystery solved	
gallery_bg_pinup_sym	sym pounced upon	
gallery_bg_pinup_sym_fall	sym falling	
gallery_bg_pinup_tammy	tammy and echinacea	
gallery_bg_pinup_tammy_saved	tammy saved	
gallery_bg_pinup_tang	tang on the roof	
gallery_bg_pinup_tang_dys_bar	twins at the bar	
gallery_bg_pinup_tonin	attack on tonin	
gallery_bg_pinup_vace	space explorer vace	
gallery_bg_pinup_vace_rex_fight	rex and vace fight	
gallery_bg_plains	plains distant	
gallery_bg_plains_alt	plains alt	
gallery_bg_plains_close	plains up close	
gallery_bg_quarters	strato quarters wing	
gallery_bg_quarters_newship	helios quarters wing	
gallery_bg_recycler	recycler funeral	
gallery_bg_ridge	ridge distant	
gallery_bg_ridge_alt	ridge alt	
gallery_bg_ridge_close	ridge up close	
gallery_bg_ruins	convergent ruins	
gallery_bg_sportsball	sportsball field	
gallery_bg_swamp	swamp distant	
gallery_bg_swamp_alt	swamp alt	
gallery_bg_swamp_close	swamp up close	
gallery_bg_valley	valley distant	
gallery_bg_valley_alt	valley alt	
gallery_bg_valley_close	valley up close	
gallery_bg_walls	walls	
gallery_bg_walls_night	walls at night	
gallery_bg_workshop	robotics workshop	
gallery_bg_ending_architect_f	architect	
gallery_bg_ending_architect_m	architect	
gallery_bg_ending_architect_nb	architect	
gallery_bg_ending_astronaut_f	astronaut	
gallery_bg_ending_astronaut_m	astronaut	
gallery_bg_ending_astronaut_nb	astronaut	
gallery_bg_ending_athlete_f	athlete	
gallery_bg_ending_athlete_m	athlete	
gallery_bg_ending_athlete_nb	athlete	
gallery_bg_ending_botanist_f	botanist	
gallery_bg_ending_botanist_m	botanist	
gallery_bg_ending_botanist_nb	botanist	
gallery_bg_ending_collector_f	collector	
gallery_bg_ending_collector_m	collector	
gallery_bg_ending_collector_nb	collector	
gallery_bg_ending_doctor_f	doctor	
gallery_bg_ending_doctor_m	doctor	
gallery_bg_ending_doctor_nb	doctor	
gallery_bg_ending_entertainer_f	entertainer	
gallery_bg_ending_entertainer_m	entertainer	
gallery_bg_ending_entertainer_nb	entertainer	
gallery_bg_ending_explorer_f	explorer	
gallery_bg_ending_explorer_m	explorer	
gallery_bg_ending_explorer_nb	explorer	
gallery_bg_ending_farmer_f	farmer	
gallery_bg_ending_farmer_m	farmer	
gallery_bg_ending_farmer_nb	farmer	
gallery_bg_ending_governor_f	governor	
gallery_bg_ending_governor_m	governor	
gallery_bg_ending_governor_nb	governor	
gallery_bg_ending_hero_f	hero	
gallery_bg_ending_hero_m	hero	
gallery_bg_ending_hero_nb	hero	
gallery_bg_ending_hobbyist_f	hobbyist	
gallery_bg_ending_hobbyist_m	hobbyist	
gallery_bg_ending_hobbyist_nb	hobbyist	
gallery_bg_ending_hunter_f	hunter	
gallery_bg_ending_hunter_m	hunter	
